Titre;Description;Catégorie;Acteurs;Année de sortie;Réalisateur
Pour une poignée de dollars;A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.;western;Clint Eastwood, Gian Maria Volontè, Marianne Koch;1964;Sergio Leone
Le bon, la brute et le truand;A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.;western;Clint Eastwood, Eli Wallach, Lee Van Cleef;1966;Sergio Leone
Il était une fois dans l'ouest;Epic story of a mysterious stranger with a harmonica who joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.;western;Charles Bronson, Claudia Cardinale, Henri Fonda;1968;Sergio Leone
Blade Runner;A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.;Science-fiction;Harrison Ford, rutger Hauer, Sean Young;1982;Ridley Scott
Inception;A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.;Science-fiction;Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page;2010;Christopher Nolan
2001, l'odyssée de l'espace;Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.;Science-fiction;Keir Dullea, Gary Lockwood, William Sylvester;1968;Stanley Kubrick
Le cinquième élément;In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr Zorg at bay.;Science-fiction;Bruce Willis, Milla Jovovich, Gary Oldman;1997;Luc Besson
Piège de cristal;John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.;Action;Bruce Willis, Alan Rickman;1988;John Mctiernan
Mary à tout prix;A man gets a chance to meet up with his dream girl from highschool, even though his date with her back then was a complete disaster.;Romance;Ben Stiller, Cameron Diaz, Matt Dillon;1998;Bobby Farrelly, Peter Farrelly
Titanic;A seventeen-year-old aristocrat falls in love with a kind, but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.;Romance;Leonardo DiCaprio, Kate Winslet;1997;James Cameron
Eternal Sunshine of the psotless mind;When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.;Romance;Jim Carrey, Kate Winslet, Tom Wilkinson;2004;Michel Gondry
